model,scenario,Category,Category_name,Category_subset,Subset_Ch4,Category_Vetting_historical,IMP_marker,Literature Reference (if applicable),Policy_category,Policy_category_name,Project_study,CO2 emissions 2030 Gt CO2/yr,CO2 emissions 2050 Gt CO2/yr,CO2 emissions 2100 Gt CO2/yr,COVID,GDP|MER-per-capita-in-2100,GDP|MER-per-capita-in-2100_bin,GHG emissions 2030 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2050 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2100 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions reductions 2019-2030 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2040 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2050 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2050 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2020 % modelled Native,CO2 emissions reductions 2019-2030 % modelled Native,CO2 emissions reductions 2019-2040 % modelled Native,CO2 emissions reductions 2019-2050 % modelled Native,CO2 emissions reductions 2019-2100 % modelled Native,CH4 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2050 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2030 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2040 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2050 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2030 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2040 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2050 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2020 % modelled Native-with-Infilled,GHG emissions reductions 2019-2030 % modelled Native-with-Infilled,GHG emissions reductions 2019-2040 % modelled Native-with-Infilled,GHG emissions reductions 2019-2050 % modelled Native-with-Infilled,GHG emissions reductions 2019-2100 % modelled Native-with-Infilled,Year of 50% CO2 emissions reductions 2019 modelled vs Harmonized-Infilled,Peak Emissions|CO2,Peak Emissions|GHGs,Population-in-2100,Population-in-2100_bin,Time horizon,Vetting_future,Vetting_historical,Climate impacts,Regional_scope,Scenario_scope,Sectoral_scope,Ssp_family,Technology_category_name,Year of peak CO2 Emissions (Harm-Infilled),Year of peak GHG Emissions,Year of netzero CO2 emissions (Harm-Infilled) Table SPM2,Year of netzero GHG emissions (Harm-Infilled) Table SPM2,"Cumulative net-negative CO2 (post net-zero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020 to netzero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020-2100, Gt CO2) (Harm-Infilled)",Median peak warming (MAGICCv7.5.3),P33 peak warming (MAGICCv7.5.3),P67 peak warming (MAGICCv7.5.3),Median warming in 2100 (MAGICCv7.5.3),Median year of peak warming (MAGICCv7.5.3),Median warming at year of netzero Emissions|CO2 (MAGICCv7.5.3),P67 warming at year of netzero (MAGICCv7.5.3) (Harm-Infilled),Exceedance Probability 1.5C (MAGICCv7.5.3),Exceedance Probability 2.0C (MAGICCv7.5.3),Exceedance Probability 3.0C (MAGICCv7.5.3),Category_FaIRv1.6.2,Category_name_FaIRv1.6.2,Median peak warming (FaIRv1.6.2),P33 peak warming (FaIRv1.6.2),P67 peak warming (FaIRv1.6.2),Median warming in 2100 (FaIRv1.6.2),Median year of peak warming (FaIRv1.6.2),Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 3.0C (FaIRv1.6.2),IMP_color_rgb,IMP_color_hex,Category_color_rgb,Category_color_hex,exclude
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1a_NZGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP, https://doi.org/10.1038/s41560-018-0179-z; https://doi.org/10.1038/s41467-020-15414-6 ,P2a,P2a: Immediate global action without transfers,CD-LINKS,21.6048704,-4.9576402999999996,-6.818764600000001,False,30979.24216260143,Low,31.25375262449218,0.263645741289223,-1.30868387515477,44.88681442411493,75.83329316808724,99.53508441560462,43.60278160515272,81.82363116640225,111.6885642650236,-1.365508048553599,43.38593056419688,82.19395549811654,112.991153706802,117.8681012838104,46.18081440346956,59.84821519603006,70.01075409890944,41.82588893334627,45.90782542510735,46.07380087732298,79.29126271152228,88.56473325452365,89.70289083987495,-1.145654764779997,44.69392101330143,75.7969868626313,99.9432286235446,102.5961689862665,2032.0,38.6827636,57.30472828332142,8990.6331,Medium,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020,2020,2046.0,2051.0,-350679.2383590433,508.4521350219625,158.6926464567152,1.557522219114318,1.452233447829923,1.680786690507782,1.236270564024115,2039,1.538985134545568,1.664497188850135,0.5833333333333334,0.0866666666666666,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.489394690587341,1.389595593306641,1.596488124880793,1.249095371183277,2039,0.4845775592311131,0.0362092087617344,0.0,,,"151, 206, 228",97CEE4,False
AIM/CGE 2.2,EN_NPi2020_300f,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1a_NZGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1038/s41558-021-01215-2; https://doi.org/10.1088/1748-9326/ac09ae; https://doi.org/10.1038/s41893-021-00772-w,P2a,P2a: Immediate global action without transfers,ENGAGE,24.0449182,4.1127796,-10.0,False,43427.44318671387,Low,33.71685340220809,11.38643139933258,-2.462675241356164,41.98075288539917,61.6986738867882,80.40647004539093,41.52075527849139,65.68997207239578,89.4135300841431,-1.815205165775446,41.77985958739105,66.11995889096404,90.04169597058088,124.2130748494744,42.72647897368207,52.01031917072135,58.92939779202594,28.76420016397532,30.99938742892559,33.43385660487477,79.64098163255422,88.63001162396381,89.690232974129,-1.678336883993096,42.02384698793326,61.89313344881787,80.80288926572081,104.7486050017149,2033.0,42.0496801,59.06392894624159,8978.2168,Medium,2100,Warning,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020,2020,2055.0,2065.0,-379458.5314995552,649.0798398094403,269.9065559930449,1.608746045509346,1.486405271927777,1.735317740236701,1.303397214340724,2049,1.572398640133689,1.697565401968693,0.6516666666666666,0.11,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.504296961293935,1.398948110023613,1.622053923396728,1.25870338715772,2049,0.5100581135449263,0.0505140813589629,0.0,,,"151, 206, 228",97CEE4,False
AIM/CGE 2.2,EN_NPi2020_600,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1b_+veGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1038/s41558-021-01215-2; https://doi.org/10.1088/1748-9326/ac09ae; https://doi.org/10.1038/s41893-021-00772-w,P2a,P2a: Immediate global action without transfers,ENGAGE,24.0449182,0.3094485,-1e-05,False,43652.76632660508,Low,33.70837063438801,7.297716550121292,8.241088876951835,42.0121841901326,68.72165074062461,87.44588850849576,41.52075527849139,74.34930675050605,98.48110384859984,-1.815205165775446,41.77985958739105,74.89696995247193,99.25073003074424,100.0000242130749,42.72647897368207,54.88416867678565,60.65939120550203,28.76420016397532,33.90053936898163,35.406866722416,79.64098163255422,88.68811218121434,89.71893303842485,-1.685350263368022,42.05591290103534,69.01884754110559,87.9557395459079,85.95478324418664,2033.0,42.0496801,59.0850774470792,8978.2168,Medium,2100,Warning,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T1: Non-standard technology assumptions,2020,2020,2055.0,inf,0.0,594.5212240150219,594.5212240150219,1.586866324569947,1.470515888242906,1.707938703772187,1.478589824872315,2048,1.478589824872315,1.615572447098264,0.6316666666666667,0.1116666666666666,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.502499901079478,1.392358974726816,1.618665786903248,1.433798797710571,2048,0.5060348681269558,0.0531962449709432,0.0004470272686633,,,"151, 206, 228",97CEE4,False
AIM/Hub-Global 2.0,1.5C,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1a_NZGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1088/1748-9326/ab9966 ,P2a,P2a: Immediate global action without transfers,Fujimori 2020,23.7368547,1.7178597,-7.4590432,False,31242.89295584519,Low,32.89250866234548,8.449108155705025,-0.7116190681811706,42.92818831351327,75.81720101665714,85.33994732566039,41.38768845072673,82.20708882780035,95.28395523003724,-1.595087370740437,41.47571566049374,82.63148548037272,95.76453953951284,118.3906069550765,44.3904497267088,58.56914343514803,61.53913262808432,41.70184855002569,46.79865491127838,36.70561371659156,79.42540419389539,88.720998707563,89.71613002150232,-1.487900315441697,42.77176408223747,75.90856248973577,85.46807236656142,101.5286814313054,2032.0,41.20593450000001,58.46347645158087,8990.6329,Medium,2100,Warning,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020,2020,2054.0,2065.0,-283380.1567977623,555.0092200110421,271.9704635822378,1.542781565702774,1.436449499047649,1.654417365196742,1.251676666120448,2040,1.485539519258081,1.602304340176354,0.5616666666666666,0.075,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.46443775649626,1.369309538764136,1.573655618710466,1.238262736307381,2038,0.443004023245418,0.0259275815824765,0.0,,,"151, 206, 228",97CEE4,False
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1a_NZGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1088/1748-9326/aac0c1,P2,P2: Immediate global action,Holz 2018,13.439,-10.5589,-3.61211,False,33400.03934402775,Low,23.56884956609982,-3.202471636495725,1.663680657162694,55.94353075657079,93.23107347940865,105.9862740758957,66.66518983181757,113.9024380003156,128.6259610424724,0.4104540593850614,65.73430175130126,112.3223673240017,126.922247283145,109.2098721111026,26.37607533396266,38.37474371682324,47.55271215047599,16.98701689148956,23.86787089984301,27.10049311076483,,,,0.3278779164591692,55.81441341710723,93.23401342512977,105.890024952749,96.4045335730019,2029.0,39.8639,54.30853154123,11183.4,High,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T1: Non-standard technology assumptions,2015,2015,2037.0,2045.0,-513576.1061203447,331.0819125861111,-181.2123207925876,1.504530622736071,1.412305418313357,1.613072784180466,1.117258247411672,2038,1.500769965654493,1.605972990522595,0.5033333333333333,0.04,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.48118845805709,1.381032327322779,1.586254881772376,1.192894052742758,2038,0.4675905230219044,0.0362092087617344,0.0,,,"151, 206, 228",97CEE4,False
C-ROADS-5.005,Ratchet-1.5-noCDR,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1b_+veGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1088/1748-9326/aac0c1,P2,P2: Immediate global action,Holz 2018,22.2166,-3.0102,-2.63863,False,33400.03934402775,Low,32.40055698152621,4.350990932739329,2.637164678060944,39.56393583079662,78.20200563893927,91.88418991190225,44.06372372936998,93.03155138938241,109.0110154675838,0.3402611126451934,43.5103494605201,91.81486662893333,107.6539680263381,106.7091853210207,26.33446871668575,38.39464970942994,47.56965350515981,17.01785362664296,23.89615161225467,27.12757300480765,,,,0.2732805333004453,39.19999072190824,77.99151383792608,91.58645161865545,94.56994459010907,2031.0,39.8639,54.30853154123,11183.4,High,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T1: Non-standard technology assumptions,2015,2015,2044.0,inf,-202307.5258034672,473.235127110169,271.4501667116419,1.58517755259526,1.480649313674745,1.702813368827294,1.338924216215778,2039,1.562288360874194,1.683383593970468,0.6416666666666667,0.1016666666666666,0.0016666666666666,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.549548956033314,1.438710325122623,1.663516536811682,1.351638660601131,2039,0.5721949038891372,0.0724184175234689,0.0,,,"151, 206, 228",97CEE4,False
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1b_+veGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1088/1748-9326/aac0c1,P2,P2: Immediate global action,Holz 2018,11.4123,-4.32897,-2.64032,False,33400.03934402775,Low,21.51362603162061,3.031653820716902,2.647351498534217,59.82084982401662,88.98316144815952,94.33804073915091,71.95534215947083,107.9590701774574,112.4341856203225,0.3661634994092506,70.95253924434807,106.4966404893447,111.0184262758072,106.7203448544433,26.37607533396266,38.37474371682324,47.55271215047599,16.98701689148956,23.86787089984301,27.10049311076483,,,,0.305507023826307,59.73466091719,88.90715154432131,94.05727799905897,94.54377739425519,2028.0,39.8639,54.30853154123,11183.4,High,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T1: Non-standard technology assumptions,2015,2015,2037.0,inf,-244294.3762268488,317.0097638169192,73.14779429010456,1.495862781566056,1.403497819541032,1.603780112562982,1.247374680064642,2038,1.490537602402166,1.594411509890544,0.4916666666666666,0.05,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.475080606757449,1.372778514632894,1.578772741932415,1.267881688579927,2038,0.4586499776486366,0.0393383996423781,0.0,,,"151, 206, 228",97CEE4,False
COFFEE 1.1,EN_NPi2020_400,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1b_+veGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1038/s41558-021-01215-2; https://doi.org/10.1088/1748-9326/ac09ae; https://doi.org/10.1038/s41893-021-00772-w,P2c,P2c: Other policies + Immediate global action,ENGAGE,13.44887858,0.01568849599999986,0.03319420499999933,False,,,26.43006420782072,9.813739614849375,6.722274336464331,51.13432376585045,67.7830524139396,81.85569967236115,62.69035831363571,81.76610862810965,97.62862151616835,0.4075812544395909,64.43682664153715,83.862295405979,99.95851455571832,99.91222381406082,18.19816982912981,30.86446021151489,37.85934830823592,8.131897794262526,16.15332182965336,40.50733474448472,,,,0.07529422319114978,52.80699637592865,69.576298380207,83.66973602853061,87.95755236637127,2028.0,38.433406587,54.30853154123,,,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,,2015,2015,2075.0,inf,0.0,440.9606302639821,440.9606302639821,1.608310005944607,1.483607706123764,1.726479376108188,1.487108912408552,2048,1.487108912408552,1.626797911178833,0.6433333333333333,0.1233333333333333,0.0016666666666666,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.544519018723278,1.43008530064187,1.665163303054701,1.41775672436516,2038,0.5690657130084935,0.0742065265981224,0.0004470272686633,,,"151, 206, 228",97CEE4,False
GCAM 4.2,SSP1-19,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1a_NZGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1038/s41558-018-0091-3,P2a,P2a: Immediate global action without transfers,SSP,19.3081325819191,3.26270440090115,-17.6741664086323,False,,,31.45380826552076,12.88774866202197,-12.17275551154412,39.95533847929556,58.14875805482864,75.39755759803197,48.79258364130106,71.77869397088766,91.07076117818873,-0.5091361694685066,48.50267482761927,71.7820511745943,91.29793889897435,147.1393228130424,20.85866048747336,26.97194582157613,36.67810413587099,15.27413558939384,19.54470137788921,24.68009577867481,74.27890126985295,80.17794384577671,78.60578493650858,-0.3630212358765538,39.31411204042207,57.75243562412873,75.23167642085768,123.8912279319753,2031.0,37.68435972855291,54.30853154123,6906.14,Low,2100,Pass,Pass,no,global,Global integrated scenario,integrated/energy-emissions,1.0,T0: Standard technology assumptions,2015,2015,2059.0,2077.0,-355261.4427032795,545.1162442648188,189.9896383541511,1.613032708475022,1.489269816826228,1.737566731042422,1.265765700670178,2049,1.599325996500528,1.729646970577106,0.6566666666666666,0.1383333333333333,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.518923878861094,1.404796297231232,1.64552656829476,1.262288552911868,2050,0.5283862315601252,0.0666070630308448,0.0,,,"151, 206, 228",97CEE4,False
GCAM 5.3,R_MAC_30_n0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1b_+veGHGs,Limit to 1.5C (>50%) no or low OS immediate 2020 action,C1,non-IMP,https://doi.org/10.1038/s41467-021-26509-z,P2a,P2a: Immediate global action without transfers,Ou 2021,-0.000367922220799485,-0.000361695708157777,-0.000366363466885241,False,41301.90560377885,Low,12.61547031671853,12.98581250322983,12.06197639245565,77.39162244857458,76.64118141427939,76.72792654460406,99.4334855461063,99.43749882061971,99.50558641484812,-0.6524768732153231,100.0009275771763,100.0009188163534,100.000911879372,100.000923647366,29.14983046488299,25.51594092179607,23.55120456281533,1.96539887826042,0.3174147797912424,-2.776813444293841,-4.168422102408508,-1.438848203039389,22.25305865411628,-0.724640224237023,78.95819039490331,77.96051754903192,77.69566448719033,78.01293013510984,2025.0,39.9236675574815,56.17172480947647,9130.189,Medium,2100,Warning,Pass,no,global,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020,2020,2030.0,inf,0.0,231.9516686594547,231.9516686594547,1.516940950764493,1.39993716453819,1.637007098945959,1.487385915976466,2094,1.487385915976466,1.613649239917358,0.5283333333333333,0.0866666666666666,0.0,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,1.477364064409568,1.370711248373558,1.591437491049308,1.42551791521671,2094,0.4617791685292803,0.0505140813589629,0.0004470272686633,,,"151, 206, 228",97CEE4,False
