 # ...                                                              FEFF 9.6.4
 # POT  SCF  30  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=29 Rmt= 1.371 Rnm= 1.523 K  shell
 # Pot 1 Z=29 Rmt= 1.363 Rnm= 1.488
 # Pot 2 Z=50 Rmt= 1.523 Rnm= 1.722
 # Pot 3 Z=30 Rmt= 1.395 Rnm= 1.583
 # Pot 4 Z=34 Rmt= 1.419 Rnm= 1.588
 # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 1.000E+00
 # Mu=-6.836E+00 kf=1.755E+00 Vint=-1.218E+01 Rs_int= 2.067
 # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   4.000   2.4359    2.9897   -7.83623 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  29 Cu       absorbing atom
    -1.3680   -1.3851    1.4642  4  34 Se    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.8108E+00  8.2813E-04 -6.1649E+00  8.559E-01  9.4533E+00  1.0726E+00
  0.100  3.8177E+00  2.5113E-01 -6.6424E+00  8.565E-01  9.4939E+00  1.0772E+00
  0.200  3.8384E+00  4.8228E-01 -7.0958E+00  8.582E-01  9.6147E+00  1.0909E+00
  0.300  3.8722E+00  6.7812E-01 -7.5272E+00  8.614E-01  9.8129E+00  1.1134E+00
  0.400  3.9180E+00  8.3061E-01 -7.9371E+00  8.663E-01  1.0084E+01  1.1442E+00
  0.500  3.9739E+00  9.3898E-01 -8.3254E+00  8.733E-01  1.0423E+01  1.1826E+00
  0.600  4.0353E+00  1.0114E+00 -8.6963E+00  8.821E-01  1.0800E+01  1.2265E+00
  0.700  4.1010E+00  1.0530E+00 -9.0466E+00  8.930E-01  1.1193E+01  1.2763E+00
  0.800  4.1680E+00  1.0690E+00 -9.3742E+00  9.058E-01  1.1583E+01  1.3316E+00
  0.900  4.2328E+00  1.0657E+00 -9.6783E+00  9.201E-01  1.1944E+01  1.3919E+00
