region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
1;1;1;.0006269;.0080411;.0186047;0;0;0
1;1;2;.0027257;.0082034;.0068259;0;0;0
1;1;3;.0017479;.008624;.0096914;.0059172;0;.037037
1;2;1;.0007321;.0086491;.0096154;0;0;0
1;2;2;.0037608;.0079295;0;0;0;0
1;2;3;.0044454;.0128381;.0101394;.027027;0;0
1;3;1;.0008372;.020202;.0078431;.0022272;0;0
1;3;2;.0039487;.0157233;.015444;0;0;0
1;3;3;.0032773;.0170293;.009869;.0079681;0;0
1;4;1;.0025539;.0084826;.0099834;.0070423;0;0
1;4;2;.0017094;.0114039;.0157791;.1111111;0;0
1;4;3;.0059579;.0150581;.0121055;.024024;0;0
1;5;1;.0009837;.0043447;.0161943;.0020833;0;0
1;5;2;.0027952;.011925;.0064795;.0041494;0;0
1;5;3;.0047645;.0113563;.0068946;.0074074;0;.0493827
1;6;1;.0052247;.0154185;.0067797;0;0;.25
1;6;2;.0144928;.017341;.0176678;0;0;0
1;6;3;.0067426;.0186325;.0150516;.0115473;0;.0515464
1;7;1;.0006867;.00453;.004902;.0015715;0;0
1;7;2;.0047562;.0131579;.0040161;.00625;0;0
1;7;3;.0027609;.0078874;.0112815;.0072423;0;.0412371
1;8;1;.0061728;.0184049;0;0;0;.009009
1;8;2;0;.027027;0;.0058824;0;.007874
1;8;3;.0075114;.013288;.0153714;.015274;0;.0261882
1;9;1;.0064909;.0110963;.0026774;.0017065;0;.0084746
1;9;2;.0064034;.0169492;.0095541;.0043165;0;.0294118
1;9;3;.0152174;.0284379;.0235256;.0228593;0;.0302336
1;10;1;.0012077;.0080808;0;.0005963;0;.0043478
1;10;2;.0025189;.0207254;.007874;.0032;0;0
1;10;3;.0083449;.0175299;.0221971;.0173991;1;.0352844
1;11;1;0;.0222222;.0310078;.0020661;0;.0164474
1;11;2;.0141844;.0701754;.0188679;0;0;.0123457
1;11;3;.0224166;.0344828;.0305277;.0311005;0;.0367993
1;12;1;.0006017;.0028571;.0166667;.0071856;0;.0180723
1;12;2;.0143885;.0517241;0;.0053908;0;.0165975
1;12;3;.0092461;.022113;.0194085;.0190237;.0714286;.0374526
1;13;1;.005787;.0117647;.0136054;.0023585;0;.0160226
1;13;2;0;.0689655;0;0;0;.0178571
1;13;3;.0307487;.0547264;.0408805;.0329289;.0714286;.0432374
1;14;1;.0047893;.0080775;.0315789;.0074866;0;.0186722
1;14;2;0;.0192308;0;.0080645;0;.0286344
1;14;3;.0401396;.0632911;.0509804;.0466531;0;.0438849
2;1;1;.0007025;.0033956;.0089686;.006006;0;0
2;1;2;.0014653;.0075957;.0023866;0;0;0
2;1;3;.0013614;.0069305;.0081222;0;0;.0116279
2;2;1;.0006491;.005306;.0125786;0;0;0
2;2;2;.0022235;.0087464;.0064935;0;0;0
2;2;3;.0029531;.0126365;.0103929;0;0;0
2;3;1;.0015267;.002457;.0067114;.0072072;0;0
2;3;2;.0047619;.0162602;.0120482;0;0;0
2;3;3;.0023233;.0085821;.0079545;0;0;0
2;4;1;.0021426;.0047949;.009009;.0041494;0;0
2;4;2;.003819;.0119854;.010274;0;0;0
2;4;3;.0052268;.011727;.0122592;.0111732;0;.045977
2;5;1;.0004829;.0026001;.0032841;.0023318;0;.0150376
2;5;2;.0023419;.0056075;.0036166;.0031153;0;.02
